actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,Z,26.8576544315,2016-09-05 00:00:00,1072962,bjcwgsm,北京承文阁贸易有限公司,6,13.5678188308
1.0,1.0,Z,19.236934915,2016-07-26 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,4,-1.14185703758
1.0,1.0,Z,7.17932354818,2016-08-08 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,9,-1.49640431482
1.0,1.0,Z,14.3497757848,2016-08-15 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,4,3.10941530525
1.0,1.0,Z,43.431053203,2016-08-23 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,4,3.30013642565
1.0,1.0,Z,43.3039294306,2016-09-05 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,6,-1.11974971463
1.0,1.0,Z,48.7474610697,2016-10-18 00:00:00,1072963,bjcwgsm,北京承文阁贸易有限公司,6,22.9198940655
1.0,1.0,E,11.5058248238,2016-07-26 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,4,1.89856436809
1.0,1.0,E,20.5937875408,2016-08-02 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,6,8.13879548464
1.0,1.0,E,17.4456640256,2016-08-15 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,4,-1.61528497409
0.0,,E,18.2710974078,2016-08-23 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,4,-1.48816215296
0.0,,E,51.0529674537,2016-08-31 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,4,-1.59144167091
0.080000000000000002,1.0,E,81.9403474271,2016-09-05 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,6,-1.93222799793
0.0,,E,16.8078526287,2016-09-12 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,5,-0.558977577424
1.0,1.0,E,37.0675453048,2016-09-20 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,3,-1.29511199508
0.0,,E,24.9236712568,2016-10-08 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,8,-2.56232762879
0.0,0.0,E,14.7425720118,2016-10-12 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,13,-2.08790690887
0.88888888888888884,0.88888888888888884,E,32.9690457293,2016-10-18 00:00:00,1072965,bjcwgsm,北京承文阁贸易有限公司,6,2.93131776315
0.75,0.75,C,1.63684299753,2016-07-26 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,7,18.9052855097
1.0,1.0,C,10.0851636038,2016-08-02 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,11,7.6302138915
1.0,1.0,C,20.6366130556,2016-08-08 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,13,4.67809544503
1.0,1.0,C,11.2727080031,2016-08-15 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,13,10.5389257571
1.0,1.0,C,47.373380325,2016-09-13 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,13,0.110599586637
1.0,1.0,C,6.5318755527,2016-09-20 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,13,23.46856652
1.0,1.0,C,11.5427302997,2016-10-12 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,15,20.4720309106
0.98360655737704916,0.98360655737704916,C,30.7802930435,2016-10-18 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,16,24.7090815583
1.0,1.0,C,20.5879930824,2016-10-19 00:00:00,1076888,shhsjtyp,上海何适家庭用品有限公司,15,40.3833547405
1.0,1.0,D,18.1427180453,2016-07-26 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,7,7.01922510745
0.80000000000000004,0.80000000000000004,D,2.47660731815,2016-08-02 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,11,9.17573343609
1.0,1.0,D,13.7487573239,2016-08-08 00:00:00,1076889,shhsjtyp,上海何适家庭用品有限公司,13,4.40602454039
