arrive_time	item_sku_id	arrive_quantity	int_org_num
2017-02-14	1006890	12	4
2017-02-14	1006899	36	4
2017-02-14	1009543	100	4
2017-02-14	1009724	30	4
2017-02-14	1009738	5	4
2017-02-14	1010132	2	4
2017-02-14	1011084164	220	4
2017-02-14	1011084165	110	4
2017-02-14	1011086444	60	4
2017-02-14	1011477	6	4
2017-02-14	1011478	0	4
2017-02-14	1011485	4	4
2017-02-14	1011662914	25	4
2017-02-14	1012451	15	4
2017-02-14	1012752	8	4
2017-02-14	1013136	6	4
2017-02-14	1013654	4	4
2017-02-14	1013662	20	4
2017-02-14	1015382	42	4
2017-02-14	1016564	60	4
2017-02-14	1017541	300	4
2017-02-14	1017611452	6	4
2017-02-14	1017616042	60	4
2017-02-14	1017755	5	4
2017-02-14	1017761	10	4
2017-02-14	1017884	36	4
2017-02-14	1019515	6	4
2017-02-14	1020092	10	4
2017-02-14	1020732	0	4
2017-02-14	1020734	9	4
2017-02-14	1021584	0	4
2017-02-14	1021585	12	4
2017-02-14	1021590	3	4
2017-02-14	1021591	10	4
2017-02-14	1021675	1	4
2017-02-14	1022809	63	4
2017-02-14	1022867	1	4
2017-02-14	1022958	200	4
2017-02-14	1023863	5	4
2017-02-14	1023890	80	4
2017-02-14	1024432	20	4
2017-02-14	1024620	10	4
2017-02-14	1024623	96	4
2017-02-14	1025017	9	4
2017-02-14	1025021	16	4
2017-02-14	1025028	12	4
2017-02-14	1025029	42	4
2017-02-14	1025460165	8	4
2017-02-14	1025792	2	4
2017-02-15	1000274	12	4
2017-02-15	1000298	0	4
2017-02-15	1000320477	0	4
2017-02-15	1000603474	48	4
2017-02-15	1000867313	24	4
2017-02-15	1001429	200	4
2017-02-15	1001796	10	4
2017-02-15	1001805	20	4
2017-02-15	1003013	2	4
2017-02-15	1003212	2	4
2017-02-15	1003216	3	4
2017-02-15	1003403	110	4
2017-02-15	1003808	5	4
2017-02-15	100421	100	4
2017-02-15	1004808	0	4
2017-02-15	1004811	0	4
2017-02-15	1004812	44	4
2017-02-15	100597	2	4
2017-02-15	1005998	5	4
2017-02-15	1007315	9	4
2017-02-15	1007981	38	4
2017-02-15	1008185	15	4
2017-02-15	100935	100	4
2017-02-15	1009567	4	4
2017-02-15	1009742	15	4
2017-02-15	1009745	40	4
2017-02-15	1009758	10	4
2017-02-15	1009834	346	4
2017-02-15	1009850	40	4
2017-02-15	1009879	900	4
2017-02-15	1010757	100	4
2017-02-15	1010827	55	4
2017-02-15	1010830	18	4
2017-02-15	1010832	11	4
2017-02-15	1010972	0	4
2017-02-15	1010973	10	4
2017-02-15	1012512	6	4
2017-02-15	1012582	60	4
2017-02-15	1013063	320	4
2017-02-15	1013106	5	4
2017-02-15	1013108	130	4
2017-02-15	1013680	48	4
2017-02-15	1013727	6	4
2017-02-15	1013922	0	4
2017-02-15	1013925	3	4
2017-02-15	1013948	17	4
2017-02-15	1013957	43	4
2017-02-15	1013977	30	4
2017-02-15	1013979	250	4
2017-02-15	1013983	20	4
2017-02-15	1014489	300	4
2017-02-15	1014706	0	4
2017-02-15	1015016	60	4
2017-02-15	1015315409	0	4
2017-02-15	1016355	1395	4
2017-02-15	101709	26	4
2017-02-15	1017438	5	4
2017-02-15	1018800	25	4
2017-02-15	1020104	18	4
2017-02-15	1020932	0	4
2017-02-15	1021018	30	4
2017-02-15	1021030	90	4
2017-02-15	1021047	0	4
2017-02-15	1021067	12	4
2017-02-15	1021756	50	4
2017-02-15	1021819	0	4
2017-02-15	1022581	0	4
2017-02-15	1022912	10	4
2017-02-15	1022957	400	4
2017-02-15	102333	50	4
2017-02-15	1024661	12	4
2017-02-15	1025025	80	4
2017-02-15	1025043	4	4
2017-02-16	1000602850	90	4
2017-02-16	1001385	36	4
2017-02-16	100143	9	4
2017-02-16	1001796	3	4
2017-02-16	1001805	13	4
2017-02-16	1002126	1008	4
2017-02-16	1002129	6	4
2017-02-16	1002677019	80	4
