sku_id	dc_id	order_date	total_sales	sales_as_gift	sales_for_free	big_order_sales	special_order_sales	order_qtty	dt
1001226840	4	2017-02-24	1	0	0	0	0	1	2017-02-24
1001226840	4	2017-03-20	6	0	0	0	0	3	2017-03-20
1001226840	4	2017-03-17	1	0	0	0	0	1	2017-03-17
1001226840	4	2017-03-12	1	0	0	0	0	1	2017-03-12
1001226840	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1001226840	4	2017-02-23	6	0	0	0	0	3	2017-02-23
1001226840	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1001226840	4	2017-03-16	4	0	0	0	0	3	2017-03-16
1001226840	4	2017-03-05	3	0	0	0	0	2	2017-03-05
1001226840	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1001226840	4	2017-03-18	2	0	0	0	0	1	2017-03-18
1001226840	4	2017-03-13	3	0	0	0	0	2	2017-03-13
1001251590	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001251590	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1001251590	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1001251590	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1001251590	4	2017-03-08	1	0	0	0	0	1	2017-03-08
1001251590	4	2017-02-27	2	0	0	0	0	1	2017-02-27
1001251590	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1001251590	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1001251590	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1001251590	4	2017-03-09	1	0	0	0	0	1	2017-03-09
1001251590	4	2017-03-15	1	0	0	0	0	1	2017-03-15
1001251590	4	2017-03-14	1	0	0	0	0	1	2017-03-14
1001251590	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1001284101	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001322360	4	2017-03-01	8	0	0	0	0	5	2017-03-01
1001322360	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1001322360	4	2017-03-14	2	0	0	0	0	2	2017-03-14
1001322360	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1001322360	4	2017-02-24	1	0	0	0	0	1	2017-02-24
1001322360	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1001322360	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1001322360	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1001322360	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1001322360	4	2017-02-27	1	0	0	0	0	1	2017-02-27
1001322360	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1001322360	4	2017-03-18	1	0	0	0	0	1	2017-03-18
1001322360	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1001322360	4	2017-02-28	1	0	0	0	0	1	2017-02-28
1001406549	4	2017-02-20	1	1	0	0	0	1	2017-02-20
1001422	4	2017-03-16	2	0	0	0	0	2	2017-03-16
1001422	4	2017-03-18	3	0	0	0	0	2	2017-03-18
1001422	4	2017-03-17	4	0	0	0	0	4	2017-03-17
1001422	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1001422	4	2017-03-20	1	0	0	0	0	1	2017-03-20
1001459736	4	2017-03-18	2	0	0	0	0	1	2017-03-18
1001461674	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1001461674	4	2017-02-21	1	0	0	0	0	1	2017-02-21
1001461674	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1001463012	4	2017-03-17	3	0	0	0	0	2	2017-03-17
1001463012	4	2017-02-28	8	0	0	0	0	6	2017-02-28
1001463012	4	2017-03-14	2	0	0	0	0	1	2017-03-14
1001463012	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1001463012	4	2017-02-25	4	0	0	0	0	3	2017-02-25
1001463012	4	2017-03-18	2	0	0	0	0	1	2017-03-18
1001463012	4	2017-03-08	1	0	0	0	0	1	2017-03-08
1001463012	4	2017-03-12	5	0	0	0	0	4	2017-03-12
1001463012	4	2017-02-19	2	0	0	0	0	2	2017-02-19
1001463012	4	2017-03-15	3	0	0	0	0	2	2017-03-15
1001463012	4	2017-03-09	4	0	0	0	0	3	2017-03-09
1001463012	4	2017-03-01	2	0	0	0	0	1	2017-03-01
1001463012	4	2017-03-10	1	0	0	0	0	1	2017-03-10
1001463012	4	2017-03-13	3	0	0	0	0	3	2017-03-13
1001463012	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1001463012	4	2017-02-27	2	0	0	0	0	1	2017-02-27
1001463012	4	2017-03-11	4	0	0	0	0	3	2017-03-11
1001463012	4	2017-03-06	5	0	0	0	0	3	2017-03-06
1001463012	4	2017-02-23	4	0	0	0	0	4	2017-02-23
1001463012	4	2017-03-04	3	0	0	0	0	2	2017-03-04
1001463012	4	2017-02-24	10	0	0	0	0	6	2017-02-24
1001879853	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1001879853	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001879853	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1001879853	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1001879853	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1001947	4	2017-03-20	1	0	0	0	0	1	2017-03-20
1001947	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1001954574	4	2017-03-04	1	0	0	0	0	1	2017-03-04
1001954574	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001954574	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1001954574	4	2017-03-03	1	0	0	0	0	1	2017-03-03
1001954574	4	2017-03-05	1	0	0	0	0	1	2017-03-05
1001954574	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1001954574	4	2017-03-19	2	0	0	0	0	1	2017-03-19
1001989	4	2017-03-10	4	0	0	0	0	2	2017-03-10
1001989	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1001989	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1001989	4	2017-03-01	2	0	0	0	0	1	2017-03-01
1001989	4	2017-03-09	1	0	0	0	0	1	2017-03-09
1001989	4	2017-02-24	1	0	0	0	0	1	2017-02-24
1001989	4	2017-02-27	1	0	0	0	0	1	2017-02-27
1001989	4	2017-03-04	1	0	0	0	0	1	2017-03-04
1001989	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1001989	4	2017-03-18	1	0	0	0	0	1	2017-03-18
1001989	4	2017-03-12	1	0	0	0	0	1	2017-03-12
1001989	4	2017-02-23	2	0	0	0	0	2	2017-02-23
1001989	4	2017-03-15	2	0	0	0	0	2	2017-03-15
1001998	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1002045051	4	2017-03-19	3	0	0	0	0	3	2017-03-19
1002045051	4	2017-03-12	3	0	0	0	0	3	2017-03-12
1002045051	4	2017-03-17	2	0	0	0	0	2	2017-03-17
1002045051	4	2017-03-01	3	0	0	0	0	3	2017-03-01
1002045051	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1002045051	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1002045051	4	2017-02-21	2	0	0	0	0	2	2017-02-21
1002045051	4	2017-02-22	2	0	0	0	0	2	2017-02-22
1002045051	4	2017-02-27	2	0	0	0	0	2	2017-02-27
1002045051	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1002045051	4	2017-03-11	2	0	0	0	0	2	2017-03-11
1002045051	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1002045051	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1002045051	4	2017-02-28	1	0	0	0	0	1	2017-02-28
1002045051	4	2017-03-05	1	0	0	0	0	1	2017-03-05
1002045051	4	2017-03-08	1	0	0	0	0	1	2017-03-08
1002045051	4	2017-03-03	1	0	0	0	0	1	2017-03-03
1002045051	4	2017-03-13	2	0	0	0	0	2	2017-03-13
1002045387	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1002148	4	2017-02-24	1	0	0	0	0	1	2017-02-24
1002148	4	2017-03-11	2	0	0	0	0	2	2017-03-11
1002148	4	2017-03-05	1	0	0	0	0	1	2017-03-05
1002148	4	2017-03-08	1	0	0	0	0	1	2017-03-08
1002148	4	2017-03-12	2	0	0	0	0	2	2017-03-12
1002148	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1002148	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1002148	4	2017-03-03	1	0	0	0	0	1	2017-03-03
1002148	4	2017-02-26	4	0	0	0	0	4	2017-02-26
1002148	4	2017-03-09	1	0	0	0	0	1	2017-03-09
1002148	4	2017-02-23	1	0	0	0	0	1	2017-02-23
1002256	4	2017-03-01	6	0	0	0	0	5	2017-03-01
1002256	4	2017-03-05	6	0	0	0	0	6	2017-03-05
1002256	4	2017-02-24	7	0	0	0	0	7	2017-02-24
1002256	4	2017-03-20	4	0	0	0	0	4	2017-03-20
1002256	4	2017-02-26	4	0	0	0	0	4	2017-02-26
1002256	4	2017-03-08	3	0	0	0	0	3	2017-03-08
1002256	4	2017-03-07	7	0	0	0	1	7	2017-03-07
1002256	4	2017-03-03	18	0	0	0	0	11	2017-03-03
1002256	4	2017-02-21	5	0	0	0	0	5	2017-02-21
1002256	4	2017-02-28	8	0	0	0	0	8	2017-02-28
1002256	4	2017-03-14	6	0	0	0	0	6	2017-03-14
1002256	4	2017-03-16	8	0	0	0	2	8	2017-03-16
1002256	4	2017-02-25	4	0	0	0	0	4	2017-02-25
1002256	4	2017-03-18	6	0	0	0	0	6	2017-03-18
1002256	4	2017-03-06	27	0	0	20	0	8	2017-03-06
1002256	4	2017-03-10	7	0	0	0	0	7	2017-03-10
1002256	4	2017-03-19	4	0	0	0	0	3	2017-03-19
1002256	4	2017-02-20	6	0	0	0	0	6	2017-02-20
1002256	4	2017-02-19	11	0	0	0	1	11	2017-02-19
1002256	4	2017-03-02	3	0	0	0	0	3	2017-03-02
1002256	4	2017-02-27	7	0	0	0	0	7	2017-02-27
1002256	4	2017-03-12	4	0	0	0	0	4	2017-03-12
1002256	4	2017-03-15	7	0	0	0	0	6	2017-03-15
1002256	4	2017-03-04	9	0	0	0	0	9	2017-03-04
1002256	4	2017-03-09	5	0	0	0	0	5	2017-03-09
1002256	4	2017-03-17	6	0	0	0	0	6	2017-03-17
1002256	4	2017-02-23	6	0	0	0	0	6	2017-02-23
1002256	4	2017-03-11	8	0	0	0	0	4	2017-03-11
1002256	4	2017-02-22	3	0	0	0	0	2	2017-02-22
