actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,10.0,E,2016-08-02 00:00:00,2098008,10.0,10.0,18033141.0,jmsorz,江门市欧润哲家居用品有限公司,9
1.0,1.0,2.0,E,2016-08-08 00:00:00,2098008,2.0,2.0,18205863.0,jmsorz,江门市欧润哲家居用品有限公司,8
1.0,1.0,7.0,E,2016-08-15 00:00:00,2098008,7.0,7.0,18399064.0,jmsorz,江门市欧润哲家居用品有限公司,9
1.0,1.0,10.0,E,2016-08-22 00:00:00,2098008,10.0,10.0,18577799.0,jmsorz,江门市欧润哲家居用品有限公司,10
0.97872340425531912,0.97872340425531912,46.0,E,2016-09-05 00:00:00,2098008,47.0,47.0,18991002.0,jmsorz,江门市欧润哲家居用品有限公司,10
1.0,1.0,18.0,E,2016-09-29 00:00:00,2098008,18.0,18.0,19768301.0,jmsorz,江门市欧润哲家居用品有限公司,9
0.5892857142857143,1.0,33.0,E,2016-10-12 00:00:00,2098008,56.0,33.0,20105216.0,jmsorz,江门市欧润哲家居用品有限公司,15
0.51515151515151514,1.0,17.0,E,2016-10-18 00:00:00,2098008,33.0,17.0,20337052.0,jmsorz,江门市欧润哲家居用品有限公司,12
0.0,,0.0,L,2016-07-19 00:00:00,2101929,1.0,0.0,17706669.0,bjhxcs,北京宏祥昌盛文化发展有限公司,13
1.0,1.0,10.0,D,2016-08-02 00:00:00,2102086,10.0,10.0,18033154.0,bjzdx,北京紫丁香华盛日用品有限公司,11
1.0,1.0,8.0,D,2016-08-15 00:00:00,2102086,8.0,8.0,18396358.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,51.0,D,2016-08-29 00:00:00,2102086,51.0,51.0,18788832.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,22.0,D,2016-09-12 00:00:00,2102086,22.0,22.0,19216254.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,35.0,D,2016-09-20 00:00:00,2102086,35.0,35.0,19423967.0,bjzdx,北京紫丁香华盛日用品有限公司,7
1.0,1.0,20.0,D,2016-09-27 00:00:00,2102086,20.0,20.0,19668361.0,bjzdx,北京紫丁香华盛日用品有限公司,4
1.0,1.0,77.0,D,2016-10-12 00:00:00,2102086,77.0,77.0,20105111.0,bjzdx,北京紫丁香华盛日用品有限公司,5
1.0,1.0,43.0,D,2016-10-18 00:00:00,2102086,43.0,43.0,20336944.0,bjzdx,北京紫丁香华盛日用品有限公司,5
1.0,1.0,25.0,D,2016-07-13 00:00:00,2102092,25.0,25.0,17558275.0,bjzdx,北京紫丁香华盛日用品有限公司,5
1.0,1.0,45.0,D,2016-08-29 00:00:00,2102092,45.0,45.0,18788832.0,bjzdx,北京紫丁香华盛日用品有限公司,6
1.0,1.0,8.0,D,2016-09-20 00:00:00,2102092,8.0,8.0,19423967.0,bjzdx,北京紫丁香华盛日用品有限公司,7
1.0,1.0,28.0,D,2016-09-27 00:00:00,2102092,28.0,28.0,19668361.0,bjzdx,北京紫丁香华盛日用品有限公司,4
0.0,,0.0,D,2016-10-08 00:00:00,2102092,22.0,0.0,19922129.0,bjzdx,北京紫丁香华盛日用品有限公司,15
0.0,0.0,0.0,D,2016-10-12 00:00:00,2102092,37.0,37.0,20105111.0,bjzdx,北京紫丁香华盛日用品有限公司,5
0.0,,0.0,D,2016-10-18 00:00:00,2102092,41.0,0.0,20336944.0,bjzdx,北京紫丁香华盛日用品有限公司,5
0.0,,0.0,Z,2016-08-22 00:00:00,2122741,92.0,0.0,18595712.0,ves0000218,上海昂升餐具有限公司,13
0.0,,0.0,Z,2016-08-29 00:00:00,2122741,50.0,0.0,18800190.0,ves0000218,上海昂升餐具有限公司,12
0.0,,0.0,Z,2016-09-05 00:00:00,2122741,11.0,0.0,18989157.0,ves0000218,上海昂升餐具有限公司,14
